Id;IdiomText;Defenition
807;butter wouldn't melt in your mouth;If you say that someone looks as if <em> butter wouldn't melt in their mouth, </em> you mean that they look completely innocent,  but that they are capable of doing  unpleasant things.<br />
808;back the wrong horse;If you <em>back or bet on the wrong  horse</em>, for example the loser in a  contest, match or election, you support the  wrong person.<br />
809;bark up the wrong tree;"A person who is <em>barking up the wrong  tree</em> is doing the wrong thing, because  their beliefs or ideas are incorrect or  mistaken.&nbsp;<br />"
810;botch up/make a botch of;If  you spoil something, or make a mess of it,  by doing a job badly or incorrectly, you <em> make a botch of it</em> or you<em> botch it  up</em>.<br />
811;"eat crow
eat humble pie";If you<em> eat crow</em>, you admit that you  were wrong about something and apologize.<br />
812;eat one's words;If you <em>eat your  words</em>, you have to admit that your were  mistaken in what you said.<br />
813;himalayan blunder;If you stupidly make a serious mistake  or error, you commit a <em>Himalayan  blunder.</em><br />
814;overshoot the mark;If you make a  mistake as a result of misjudging something  (situation, distance, amount, etc.), you <em> overshoot the mark.<br /> .</em>
815;see the error of your ways;When someone<em>  sees the error of their ways</em>, they  understand that what they are doing is wrong  and accept to change their behaviour.<br /> .
816;swallow one's pride;"If you <em>swallow  your pride, </em>you accept something  humiliating or embarrassing, for example  having to admit that&nbsp;you are wrong, or that  you have less knowledge that you thought.<br />"
817;swallow your words;If you <em>swallow  your words,</em> you admit that you were  wrong.<br />
818;trial and error;Attempting to achieve a satisfactory  result by testing and eliminating various  methods until the best one is found is  called <em>trial and error.</em><br />
819;wide of the mark;If something is (or falls) <em>wide of  the mark,</em> it is incorrect or  inadequate, or it is not what was expected.<br />
820;beat black and blue;If a person is  covered with bruise marks caused by being  hit, they have been <em>beaten black and  blue.<br /> </em>
821;beat/knock the (living) daylights;If a person <em> beats the (living) daylights</em> out of  another, they hit them very hard and  repeatedly.<br />
822;come to blows;If two or more  people <em>come to blows</em>, they start to  fight.<br />
823;fight like cat and dog;Two people who  fight or argue<em> like cat and dog</em>  frequently have violent arguments, even  though they are fond of each other.<br />
824;fight tooth and nail;If you<em> fight tooth and nail </em>for  something, you fight with energy and  determination.<br />
825;fight an uphill battle;A person faced with<em>  an uphill battle </em>has to struggle  against very unfavourable circumstances.<br />
826;free-for-all;This term refers to  an uncontrolled situation such as an  argument or fight where everyone present can  do what they like.<br />
827;gloves are off!;This expression is used when there are signs  that a fight is about to start.<br />
828;head on a platter;If someone makes you so angry that you want  them to be punished, you want their<em> head  on a platter.</em><br />
829;road rage;Aggressive driving habits sometimes  resulting in violence against other drivers  is called <em>road rage.<br /> </em>
830;take cover;When someone<em> takes cover, </em>they  hide from a danger in a place where they  find protection.<br />
831;tit for tat;This expression  refers to an injury or insult given in  return for one received.<br />
832;up in arms;If you are <em>up  in arms about something, you are very angry.<br /> </em><br/>
833;in/through the wars;If a person or  thing has been<em> in (or through) the wars,</em>  they show signs of rough treatment, injury  or damage.<br />
834;act of God;This term refers to  an natural event or accident, for which no  person is responsible (such as an  earthquake, lightning and similar acts of  nature).<br />
835;been through the wars;If something has <em>been in or through the  wars</em>, it show signs of rough treatment  or damage.<br />
836;beyond recall;Something which is <em>beyond recall</em> is  impossible to retrieve, cancel or reverse.<br />
837;beyond redemption;If something is <em> beyond redemption</em>, it is in such a poor  state that there is no hope of improvement  or recovery.<br />
838;bodice-ripper;A novel, usually on a historical theme,  with a plot that involves romantic passion  between a vulnerable heroine and a rich,  powerful male character, is called a<em>  bodice-ripper.<br /> </em>
839;broad strokes;If something is described or defined  with/in <em>broad strokes</em>, it is  outlined in a very general way, without any  details.<br />
840;collecting dust;If something is <em> collecting dus</em>t, it hasn't been touched  or used for a long period of time.<br />
841;come in handy;To say that something may <em>come in  handy</em> means that it may be useful some  time or other.<br />
842;copper-bottomed;To describe something such as a plan, a  contract or a financial arrangement as <em> copper-bottomed</em>  means that it is completely safe or  reliable.<br />
843;creature comforts;This expression refers to modern  conveniences (such as hot water or central  heating) that make life comfortable and  pleasant.<br />
844;(a) cut above;Something which is <em>a cut above</em>  everything else is better or of higher  quality.<br />
845;cut and dried;If you refer to a situation, problem or  solution as <em>cut and dried,</em> you mean  that it is clear and straightforward with no  likely complications.<br />
846;back-of-the-envelope calculation;This expression refers to a quick  approximate calculation done informally, as  on the back of an envelope.<br />
847;bet your bottom dollar;If you <em>bet your bottom dollar </em>on  something, you are absolutely certain of it.<br />
848;born with a silver spoon in your mouth;A person who is<em>  born with a silver spoon in their mouth</em>  is born into a very rich family.<br />
849;on the breadline;People who live <em> on the breadline</em> have a very low income  or barely enough money to survive.<br />
850;cash cow;A product or  service which is a regular source of income  for a company is called a<em> cash cow.</em><br />
851;cash in your chips;If you<em> cash in  your chips</em>, you sell something,  especially shares, either because you need  the money or because you think the value is  going to fall.<br />
852;chicken feed;An amount of money considered small or  unimportant is called <em>chicken feed.</em><br />
853;other side of the coin;When you want to mention a different or  contradictory aspect of a situation, you  refer to<em> the other side of the coin.</em> <br />
854;cost an arm and a leg;If something <em> costs an arm and a leg</em>, it is very  expensive.<br />
855;cost the earth;If something<em>  costs the earth</em>, it is very expensive  indeed.<br />
856;cut one's losses;If you end or withdraw from something  that is already failing, in order to reduce  the loss of money, time or effort invested  in it, <br/>you  <em>cut your losses.</em><br />
857;cloud on the horizon;A problem or  difficulty that is predictable, or seems  likely to arise in the future, is called a<em>  cloud on the horizon.</em><br />
858;heavens open;When the<em>  heavens open</em>, it suddenly starts to  rain heavily.<br />
859;reach for the moon;If you <em>reach for the moon</em>, you  are very ambitious and try to achieve  something even if it is difficult.<br />
860;come rain or shine;If a person does something<em> come rain  or shine</em>, they do it regularly,  whatever the circumstances.<br />
861;never rains but it pours;This expression is used to comment on  the fact that when something bad happens,  other bad things often happen too, and make  the situation even worse.<br />
862;take a rain check;To say that you <em>take a rain check </em>means that you cannot accept an  invitation or offer now, but you will be  happy to accept it later.<br />
